centil,renta
54,18998.147317949755
55,19001.597115464632
56,19493.958239580355
57,19998.789438182277
58,20002.421302838306
59,20803.613592803
60,21000.21436807385
61,21315.26789511717
62,21998.328900499702
63,22002.47190667536
64,22870.847282594437
65,23001.098487047097
66,23622.961285341706
67,24000.19095949701
68,24475.99336127164
69,24999.95986105989
70,25492.05723394719
71,26000.65433172287
72,26707.65268306651
73,27057.55929955244
74,27998.65135988986
75,28545.7971833755
76,29185.70281810436
77,30000.22312461187
78,30886.12524035984
79,31655.78349906301
80,32496.069687738287
81,33479.04266285686
82,34472.27345253283
83,35532.901226601854
84,36637.00141378897
85,37776.24453223953
86,39267.677405940056
87,40093.739708709145
88,41962.33337521312
89,44407.42607141822
90,45266.15998172684
91,47694.04203818104
92,50144.62517627528
93,53258.81256945148
94,57912.46159985967
95,59999.534641819366
96,61773.75044767579
97,69538.60788085042
98,78996.9556457133
99,92351.20414995562
100,180771.998363022
1,791.3746133189626
2,2711.4113185924407
3,3942.368671320183
4,4763.389740403228
5,5388.172118769956
6,5999.8494977854125
7,6528.1853871959775
8,6999.308186790618
9,7175.5523382792135
10,7997.182362189832
11,8000.460666386416
12,8109.764319239165
13,8996.555200689114
14,8999.060074706118
15,9001.52727556918
16,9122.490744773017
17,9996.262937287956
18,9998.335674886815
19,10000.392537767344
20,10002.500179779892
21,10326.172528501109
22,10996.60134033086
23,10998.488665118875
24,11000.437292131866
25,11002.359976376449
26,11121.79142082564
27,11996.246562878963
28,11998.25015240886
29,12000.293263199745
30,12002.326284216007
31,12177.660337701014
32,12996.430721683697
33,12998.657215842126
34,13000.827963437
35,13003.07147655181
36,13634.384825836438
37,13997.910769227728
38,14000.41042205333
39,14002.939546751
40,14714.211802576969
41,14998.24994909613
42,15000.9385133506
43,15024.699124830966
44,15996.599204831176
45,15999.636123966977
46,16002.567535787202
47,16677.614659939394
48,16998.563680739495
49,17001.659092747766
50,17401.064817032075
51,17997.890846453418
52,18001.055317336704
53,18249.76751160045
54,18997.533759162638
