centil,renta
80,27331.00891585709
81,28000.042341694985
82,28703.099254700854
83,29240.788595040296
84,30000.05792847896
85,30764.010397201248
86,31432.71593427907
87,32265.54176567785
88,33256.30792786857
89,34375.39023109839
90,35563.62423541534
91,36981.72867929598
92,38548.46513068204
93,39967.84231753323
94,42546.95543829759
95,45012.00743533613
96,48439.383323023314
97,54346.283843484816
98,59999.29460184128
99,66470.3993642559
100,114124.60195606136
1,0.8228736166658362
2,2.461967290390469
3,4.100435549394306
4,934.5885001649852
5,999.9352785848814
6,1039.6158001467904
7,1996.9975636559611
8,2000.6824744156288
9,2351.605451493395
10,2998.2880069782186
11,3002.0987534462406
12,3761.187360229984
13,3999.588542092596
14,4023.094127016501
15,4996.613354925492
16,4999.784005447015
17,5002.99079112804
18,5871.021123605044
19,5999.663004274502
20,6003.022090985436
21,6896.657236644506
22,6999.642134856015
23,7002.942367169007
24,7867.670590547204
25,7998.965540490442
26,8001.951981025821
27,8475.576375794186
28,8997.818304259401
29,9000.696255906112
30,9012.510510577313
31,9996.466597847715
32,9999.245188758574
33,10001.975803540956
34,10436.051721337177
35,10997.559908040115
36,11000.207097067316
37,11002.882031358056
38,11705.245754019
39,11998.046985359197
40,12000.575293360233
41,12003.146793747694
42,12779.904839497234
43,12998.238400794216
44,13000.74903273757
45,13003.321561051776
46,13855.863058772133
47,13998.38585242455
48,14000.89442574526
49,14003.443574789426
50,14886.201398372004
51,14998.432946303135
52,15000.90427285034
53,15003.433899975484
54,15884.71551910018
55,15998.427966463578
56,16000.78707878331
57,16003.270579792605
58,16784.326295564926
59,16998.214476002435
60,17000.705450669444
61,17003.22909971189
62,17784.013058288052
63,17998.50711435231
64,18001.20086679438
65,18130.46521427375
66,18996.971281754228
67,19000.09651096299
68,19003.268695169158
69,19940.837271504948
70,20000.16153337436
71,20126.51708754676
72,20997.508728038298
73,21001.47069844233
74,21630.90222794508
75,22000.4007972228
76,22487.079402481213
77,23000.195910973307
78,23589.58752336129
79,24000.911576177252
80,24756.30992761557
81,25054.9856153559
82,25998.40774273469
83,26449.89861126152
84,27002.737244807435
85,27998.346202013585
